,user,user_rt,weight,idd
707,PedrodelMazo,pardodevera,516,1339584714064056324
708,SaenzVarona,CristinaSegui_,411,1339667170842832902
709,ultraheroe12,CristinaSegui_,411,1339667170842832902
710,ceciliaheyder,CeballosCarola,6,1339683421602385921
711,ferpei25,Jordigave,11,1339664199862116352
712,javier_enf,sanidadgob,134,1339613665016881155
713,DavidTonteras,Camila_RojasV,892,1339622767516397574
714,_itsnightingale,salvadorilla,363,1339623840998170624
715,jimef_,jhoyosar,22,1339626579924803584
716,PSOEUtebo,sanchezcastejon,1313,1339587082193260546
717,mariaredondo18,sanchezcastejon,1313,1339587082193260546
718,TorkyCenobita,AnitaBotwin,55,1339676696723767296
719,fimalour,CristinaSegui_,411,1339667170842832902
720,PSOEUtebo,abalosmeco,216,1339604490815680512
721,EHBilduEguesiba,RuizdePinedo,44,1339578569182203905
722,alfonsoming,rec_run,3,1339682497618173953
723,EstecanoM,AleJacintoUrang,9,1339682848249421827
724,alfvara,pabolec,13,1339649130759680001
725,PSOEUtebo,salvadorilla,363,1339623840998170624
726,EMonteroD,RedEol,1,1339630213806891028
727,AndreaR46766991,sanidadgob,134,1339613665016881155
728,TorrijosMari,salvadorilla,363,1339623840998170624
729,CJAPino,Camila_RojasV,892,1339622767516397574
730,PisandoFuerte10,patxilopez,174,1339617333543841804
731,Carlos54062517,PSOE,415,1339584712772218886
732,damasonaal,addelagonzalez,81,1339671258598916097
733,NicasiaMonje,JOSEMANUELSOTO1,802,1339490975681536000
734,andenerba,sanidadgob,134,1339613665016881155
735,PSOEUtebo,patxilopez,174,1339617333543841804
736,02Sirbel,Jccampm,71,1339612492754989058
737,Vicente61000284,pardodevera,516,1339584714064056324
738,CJBENITEZO,sanchezcastejon,1313,1339587082193260546
739,Sandrin98083233,NachoOrtega,5,1339652553664045061
740,maitezumalde,ramonlobo,742,1339607957810528256
741,MariaJosLozano9,JOSEMANUELSOTO1,802,1339490975681536000
742,mariaredondo18,PSOE,415,1339584712772218886
743,TorrijosMari,diego952672768,35,1339588358654156807
744,MarcoAurelio133,AleJacintoUrang,9,1339682848249421827
745,perquisidor,MCICUENDEZMarti,37,1339514570386370562
746,VivaNerva,abalosmeco,216,1339604490815680512
747,miotroyomismo,CristinaSegui_,411,1339667170842832902
748,sizzi58,pardodevera,516,1339584714064056324
749,Vicente61000284,tito_morano,188,1339601736797810697
750,furianocturna_,Camila_RojasV,892,1339622767516397574
751,apayohippieh,Tercio_t5,24,1339638204115410945
752,anagsandres,diostuitero,541,1339586935594000392
753,carmellompart,kolontai1959,10,1339501057479766019
754,Alfon_Cobo,ramonlobo,742,1339607957810528256
755,JFernadezSierra,articulo_30,116,1339626998826741761
756,anabelteran2,mlalanda,189,1339610851649662977
757,perez_fautino,adrianac_tlsur,38,1339598987620302855
758,anap1958,Congreso_Es,290,1339584205341114369
759,Samuel_In369,JOSEMANUELSOTO1,802,1339490975681536000
760,eztabai,aileon25,2,1339682237013483523
761,estrems1969,mlalanda,189,1339610851649662977
762,mariaredondo18,juralde,103,1339549990545440769
763,isabelcadaval,patxilopez,174,1339617333543841804
764,brumisanchez70,sanchezcastejon,1313,1339587082193260546
765,pedragui,ConySchon,30,1339624727925706753
766,josepazos1940,RuizdePinedo,44,1339578569182203905
767,xcidaw,JorgeGarridoJGG,2,1339681822465286148
768,LoresCB,sanchezcastejon,1313,1339587082193260546
769,KhalMunin,sanchezcastejon,1313,1339587082193260546
770,Carambola2002,tabarniaBCN,34,1339677203567656964
771,MarlenP63224982,Camila_RojasV,892,1339622767516397574
772,runas75,carmen_banos,12,1339595266257653765
773,azulesojitos,Camila_RojasV,892,1339622767516397574
774,jorinjas,ramonlobo,742,1339607957810528256
775,carmellompart,ArderasDocu,4,1339483288646369280
776,jemayda,CristinaSegui_,411,1339667170842832902
777,carmellompart,kolontai1959,7,1339496183744647169
778,JuliaRo76844508,Mayafernandeza,64,1339631982687318017
779,rasuacin,articulo_30,116,1339626998826741761
780,estherconesasan,JOSEMANUELSOTO1,802,1339490975681536000
781,tobeimmortal,Black_Jack_1988,9,1337121477527793664
782,almucuen,RuizdeDiego3000,8,1339674891507953670
783,anaforest,ncastilo,21,1339607642948419589
784,pedro6lugones96,FranciscoTije2,5,1339679240258785289
785,Ana27052015,ramonlobo,742,1339607957810528256
786,DavCasasnovas,mendezAndreaA,36,1339655493921419267
787,Carolina1421982,Cooperativa,8,1339651692963504128
788,BECAES_,CristinaSegui_,411,1339667170842832902
789,moral_cervantes,cuquemar,406,1339511128536346625
790,josaravia1,pardodevera,516,1339584714064056324
791,redondo_marisa,PaliativosUGR,63,1339603008607293440
792,FranciscoCostaY,Panchoundurraga,36,1339642115777818626
793,gomezjin,nomecayona,43,1339600892262195203
794,EliDalmau,salvadorilla,363,1339623840998170624
795,tj_rbn,diostuitero,541,1339586935594000392
796,MujeresRN,erikaoliverad,6,1339630974808842240
797,Cesra20545486,Camila_RojasV,892,1339622767516397574
798,Promete60242183,CristinaSegui_,411,1339667170842832902
799,Belen_Larioss,MCICUENDEZMarti,37,1339514570386370562
800,CMConcejo,salvadorilla,363,1339623840998170624
801,juankfromchile,jgalemparte,52,1339648665653288969
802,007DoctorNo,CristinaSegui_,411,1339667170842832902
803,jmhd73,gpscongreso,99,1339584176517877760
804,jorgesegado,PaliativosUGR,63,1339603008607293440
805,editeestrela,sanchezcastejon,1313,1339587082193260546
806,PlazadeCibeles,mlalanda,3,1339615213998514177
807,llmendez7,ramonlobo,742,1339607957810528256
808,Vicente61000284,ramonlobo,742,1339607957810528256
809,JotageLimon,JorgeGarridoJGG,2,1339681822465286148
810,cmalvalv,mtperezrod,3,1339587063495049218
811,ramorcillo,diostuitero,541,1339586935594000392
812,PlazadeCibeles,mlalanda,4,1339631189288730625
813,mariaan84790241,Camila_RojasV,892,1339622767516397574
814,JotageLimon,sanchezcastejon,1313,1339587082193260546
815,oskisouto,jucilnacional,39,1339644404399804418
816,PlazadeCibeles,mlalanda,189,1339610851649662977
817,jomamiso33,salvadorilla,363,1339623840998170624
818,danielacdv,Camila_RojasV,892,1339622767516397574
819,PazMompart,Camila_RojasV,892,1339622767516397574
820,MShinkei,cristinasmor,1,1339678280975302662
821,rosaambssonora,nolo14,2,1339681371938299908
822,camilcg,ramonlobo,742,1339607957810528256
823,vjsuberviola,Ramipril_,2,1339587245326516230
824,JuventudAES,Jordigave,11,1339664199862116352
825,rominaa2003,Camila_RojasV,892,1339622767516397574
826,patitaaaaaa,vladomirosevic,97,1339635893175537668
827,eli2251990,PaliativosUGR,63,1339603008607293440
828,CARMEN_I_T,JOSEMANUELSOTO1,802,1339490975681536000
829,LyaGonzalez1,Mayafernandeza,64,1339631982687318017
830,manuelmmdd,PaliativosUGR,63,1339603008607293440
831,JesusBaiget,PaliativosUGR,63,1339603008607293440
832,alruwa,ramonlobo,742,1339607957810528256
